,link,title,company,Location,Salary,posted days
0,https://in.indeed.com/rc/clk?jk=b7cba5bcdf296b94&bb=tzT0kHAIeR8KNuXkMAepUZez-6D8S-k-yPs3CdAec28r1_TyxH17t_YEv13oSMhn&xkcb=SoCA67M3GjAyjNx9NR0KbzkdCdPP&fccid=4845ba5acd0ab86e&cmp=Blue-Data-Consulting&ti=Senior+Data+Scientist&vjs=3,Sr. Data Scientist,Blue Data Consulting,"Delhi, Delhi","₹40,000 - ₹60,000 a month",EmployerActive 4 days ago
1,https://in.indeed.com/rc/clk?jk=981967493f866386&bb=XPifv3NYGwSHn1tvDFmH8y8j7RQDtZwoRoZSJOq7x1nNIqThWVGa--TW2-cSjFCs&xkcb=SoAO67M3GjAyjMR9NR0KbzkdCdPP&fccid=95d2772e604ca1c2&vjs=3,Data Scientist,Naviga Inc.,"Hybrid remote in New Delhi, Delhi",NA,PostedPosted 29 days ago
2,https://in.indeed.com/rc/clk?jk=1f8f2b95910d1880&bb=XPifv3NYGwR_8IyQYZDVHWLe6WaQ88iAn845slnkz-JbV2aUlQ-uZ4K6Q-QOm8Pu&xkcb=SoAn67M3GjAyjMR9NR0IbzkdCdPP&fccid=08f43ca4d85ba4dd&vjs=3,Data Scientist,GetMyUni,"New Delhi, Delhi",NA,PostedPosted 19 days ago
3,https://in.indeed.com/rc/clk?jk=6980efb1c149cf4a&bb=ur5WlSzfJ8swgjmnKOUlRKhxFpJbCzW9NDiAvgg6pA3u2iCDFFMmoZDcRx4hnBU5&xkcb=SoBL67M3GjAyjMx9NR0KbzkdCdPP&fccid=db063444c62f4100&vjs=3,Data Scientist,SmartHelio,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
4,https://in.indeed.com/rc/clk?jk=064610546c95bceb&bb=ur5WlSzfJ8tCmr1Y57RsHXCJLlAAA96QPIub_mQT1EJWO6Gm-yJIfQ2IsRS8Do8u&xkcb=SoBi67M3GjAyjMx9NR0IbzkdCdPP&fccid=8e2b86c603174153&cmp=Shyam-Engg&ti=Data+Science+Intern&vjs=3,Data Science Intern,Shyam Engg,"Delhi, Delhi","₹13,000 - ₹17,000 a month",EmployerActive 17 days ago
5,https://in.indeed.com/rc/clk?jk=88ae2cec59d501a4&bb=ur5WlSzfJ8sIsbdnmYti7hoixvt8BvGzl_O6HeQtdfPr7Kh-f7KbolQXTW4uT0Qu&xkcb=SoBY67M3GjAyjMx9NR0ObzkdCdPP&fccid=2190682bb1bb1726&vjs=3,Data Scientist,Insider Biz,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
6,https://in.indeed.com/rc/clk?jk=3e4c587b3bd77295&bb=ur5WlSzfJ8tKU-g2CRPIOVGc5EwYyQ8TbYtcUSmoHQ83liQ99ZYKryv8uj6Ve4Mz&xkcb=SoBx67M3GjAyjMx9NR0MbzkdCdPP&fccid=597f39849ae7a6fc&vjs=3,Data Scientists,Dignitas Digital,"New Delhi, Delhi",NA,PostedPosted 11 days ago
7,https://in.indeed.com/rc/clk?jk=1eeb4720a55e3047&bb=3d25F-j-EleW3xCIBtYtPWaowWn_uw-b0SI9ftH_c3S3DkIqC_MRN2AflPl5ORhb&xkcb=SoAS67M3GjAyjPR9NR0KbzkdCdPP&fccid=4845ba5acd0ab86e&cmp=Blue-Data-Consulting&ti=Data+Scientist&vjs=3,Data Science Trainer,Blue Data Consulting,"Delhi, Delhi","₹45,000 - ₹70,000 a month",PostedPosted 4 days ago
8,https://in.indeed.com/rc/clk?jk=02c6ab06912e1669&bb=3d25F-j-EleEZYlgMG868Gwa61ELGpu2-9gbxrDz_zWC9GMmxCByAddETQjf3cVO&xkcb=SoA767M3GjAyjPR9NR0IbzkdCdPP&fccid=f0070d2791850b15&cmp=CADDCENTRE-TRAINING-SERVICE-PVT-LTD&ti=Data+Scientist&vjs=3,Data Science and Business Analytics Faculty,CADDCENTRE TRAINING SERVICE PVT LTD,"Vikaspuri, Delhi, Delhi","₹20,000 - ₹25,000 a month",EmployerActive 4 days ago
9,https://in.indeed.com/rc/clk?jk=22d413277874cab7&bb=QM802cHiKO2E_2pPFYmh6XILNi_XQJdpEyPtDiEf-am7IKNv2opbOKVrwovKrJze&xkcb=SoBX67M3GjAyjPx9NR0KbzkdCdPP&fccid=8d8b6936644ec093&vjs=3,MACHINE LEARNING RESEARCHER(COMPUTER VISION),KnowDis,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
10,https://in.indeed.com/rc/clk?jk=f20f34ffdb5759de&bb=QM802cHiKO2YGwSyJ5vQvvcBYAwJMW9ynZ0q7Hg5QYTS8IrlQx7LLBmhxLfXg7FO&xkcb=SoB-67M3GjAyjPx9NR0IbzkdCdPP&fccid=9102c38c15134e6c&vjs=3,Data Scientist,Maruti Suzuki India Ltd,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
11,https://in.indeed.com/rc/clk?jk=a8004d4d60d6a554&bb=QM802cHiKO12aI51G9udiA8966oM_CDhzSbAgzCnRM9NVKNOXsJWsPrkobqSvdA2&xkcb=SoDZ67M3GjAyjPx9NR0NbzkdCdPP&fccid=532b61341f3cf91b&vjs=3,Data Scientist,Eoraa & Co.,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
